,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
136,"6,0",--,Clive Barker,Clive Barker,"Un detective privado obtiene más de lo que espera cuando se encuentra con Philip Swan, un artista cuyas asombrosas ilusiones cautivan al mundo, pero no son realmente lo que todos piensan.",1h 49min,Lord of illusions (El señor de las ilusiones)
137,"6,3",--,John Pozer,Ross Weber,"Añade un argumento en tu idioma
Alex arrives in a small town to audit the largest employer, Turnbull Chemicals. All the hotel rooms are full with a convention, so he stays at the run-down Michelle Apartments, in the room of a woman who had just died. He is attracted to Madeleine in the apartment above, until he discovers she has a maniacal husband.",1h 31min,The Michelle Apts.
138,"5,8",--,Philip Ridley,Philip Ridley,"A young man who has spent his life as a member of an ultraconservative Christian cult loses his parents and becomes disoriented, wandering into a forest and meeting a coffin transporter, a caring woman, her mute boyfriend, and his mother.",1h 40min,La pasión de Darkly Noon
139,"8,5",--,Bryan Singer,Christopher McQuarrie,"El único superviviente de un terrible tiroteo en un barco relata los eventos que condujeron a esta masacre, empezando con cinco criminales que se encuentran aparentemente al azar en una selección policial de sospechosos habituales.",1h 46min,Sospechosos habituales
140,"6,2",--,Luis Estrada,Luis EstradaHugo HiriartJaime Sampietro,"Añade un argumento en tu idioma
Ambar is a trip that goes beyond the certainties of reality to reveal an astounding world governed only by imagination. When a famous hunter and his young apprentice go on an expedition looking for the mythical world of Bogonsor, a place that promises riches as well as fearsome dangers, they start the adventure that will change their destinies. Surrounded by fabulous ... Leer todo",1h 31min,Ámbar
141,"7,3",--,Gilles Mimouni,Gilles Mimouni,Un hombre recientemente comprometido ve a una examante y se obsesiona con volver a encontrarse con ella.,1h 56min,Flash-back (El apartamento)
142,"6,2",--,Michael Apted,Michael PalmerTony Gilroy,"Un joven médico se enfrenta a un colega famoso, cuando se entera de los verdaderos métodos de su trabajo.",1h 58min,Al cruzar el límite
143,"4,0",--,Al Festa,Al FestaAlessandro MoneseMary Rinaldi,"Añade un argumento en tu idioma
Alex Ritt (Rick Gianasi), a music video director comes to Italy to direct a video for pop sensation Stefania Stella. He soon encounters a mysterious killer who videotapes his victims for the police. As the horrible murders continue, Ritt is unknowingly pushed into the killer's games and he soon becomes a target of the police. The video-killer is on the loose and Ritt ... Leer todo",2h 5min,Fatal Frames - Fotogrammi mortali
144,"7,4",91%,John Sayles,John Sayles,"Cuando se encuentra el esqueleto de su predecesor asesinado, el sheriff Sam Deeds descubre muchos otros secretos enterrados durante mucho tiempo en su ciudad.",2h 15min,Lone Star
145,"6,9",90%,Mohsen Makhmalbaf,Mohsen Makhmalbaf,When an old couple washes their gabbeh - a type of Persian rug - a young woman magically appears and tells them her life story.,1h 15min,Gabbeh
146,"6,6",--,Edward Zwick,Patrick Sheane Duncan,"Un oficial del ejército estadounidense, abatido por un error mortal que cometió, investiga si una comandante de helicóptero es merecedora de la medalla de honor.",1h 56min,En honor a la verdad
147,"7,4",--,John Greyson,Michel Marc BouchardLinda Gaboriau,"Añade un argumento en tu idioma
When a bishop comes to a prison to hear the confession of an old friend he is forced to watch a play, performed by the inmates, about their youth together, love and betrayal.",1h 35min,Lilies - Les feluettes
148,"6,1",67%,Adrienne Shelly,Adrienne Shelly,Donna witnesses identical murders on the same street on different days. Is this a supernatural conspiracy or is she merely cracking up?,1h 20min,Sudden Manhattan
149,"6,2",--,John Fawcett,Peter WellingtonDoug Smith,"In Ontario, Canada, three fourteen-year-old boys, Kyle, Brad and Eric are forced to perform an ordeal when they find a mysterious fugitive named Luke, who has a gun and clams to be a cop, has taken a hiding in their clubhouse.",1h 31min,Amigo o enemigo
150,"6,2",--,Teresa Kotlarczyk,Renata Frydrych,"Añade un argumento en tu idioma
Ala is a frustrated housewife and mother of three children. When she suddenly gets killed in a car accident, her family have to learn how to cope with the new situation.",1h 11min,Odwiedz mnie we snie
151,"6,7",65%,Steven Soderbergh,Steven Soderbergh,"Fletcher Munson, the lethargic employee of a pseudo-religious self help company, and his doppelganger, the friendly but dull dentist Dr. Jeffrey Korchek.",1h 36min,Schizopolis
152,"7,4",--,Wes Craven,Kevin Williamson,"Un año después del asesinato de su madre, una adolescente es aterrorizada por un nuevo asesino, que tiene como objetivo a la chica y a sus amigos utilizando las películas de terror como parte de un juego mortal.",1h 51min,Scream: Vigila quién llama
153,"7,4",--,Alejandro Amenábar,Alejandro AmenábarMateo Gil,"Mientras trabaja en su tesis sobre la violencia, Ángela encuentra un vídeo snuff en el que torturan a una chica hasta matarla. Pronto descubre que la chica era una antigua alumna de su facultad...",2h 5min,Tesis
154,"6,1",--,Marcos Zurinaga,Ian GibsonMarcos ZurinagaJuan Antonio Ramos,Ricardo es periodista y admirador de Federico García Lorca. El llega a España durante la dictadura franquista para investigar la desaparición del poeta.,1h 48min,Muerte en Granada
