,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
487,5.1,--,Costa Natsis,Bruno HerbulotCosta NatsisSuzanne Schiffman,"10-year-old Ilias, son of a priest, constantly breaks away from home and school to follow gypsies and wandering musicians in search of his passion for the clarinet and traditional music.",1h 30m,To oneiro tou Ikarou
488,5.0,--,Pau Martínez,Jorge de Juan,"A film filled with intensity where revenge leads the way to an unpredicted outcome. Daniel, an ex-convict, tries to get back at his corrupt father-in-law by kidnapping his own son and hiding him in an abandoned town where there are producing American westerns. Daniel will have to face a vile father-in-law, an ex-wife that stalks him, as well as a falling actor in orde... Read all",1h 38m,Bala perdida
489,4.4,16%,Mark Brokaw,Doug AtchisonRebecca Gilman,"A hate crime on the campus of a New England college puts the school's dean in a position where she has to examine her own feelings about race and prejudice, while maintaining her administration's politically correct policies.",1h 26m,Spinning Into Butter
490,6.6,--,Mark Norfolk,Mark Norfolk,"Julius Beauregard has lost his job, his wife and his only child. But just as he decides to end it all he meets an angel and takes her on a journey through the entrails of his own mind.",1h 36m,Crossing Bridges
491,4.4,50%,Nick Gaglia,Nick Gaglia,"A cult-like rehabilitation center abuses, brainwashes and imprisons vulnerable teens.",1h 15m,Over the GW
492,6.6,100%,Celia Fox,Mitchell KapnerMichael MarkeeCelia Fox,"The lives of rival gang members, a teacher, a TV news crew and other intertwine in the city of Los Angeles.",1h 34m,Days of Wrath
493,7.4,86%,Pietra Brettkelly,Pietra Brettkelly,"Vanessa Beecroft is obsessively determined to adopt Sudanese twin orphans. Her consuming passion drives her marriage to a breaking point and fuels her controversial art, raising troubling questions about exploitation, culture clash, and the imposition of the West on Africa.",1h 49m,The Art Star and the Sudanese Twins
494,6.0,33%,Mike Million,Mike Million,"Professor Thurber loves to teach, but can't stand all the politicking. So when his opportunity for tenure is announced, he goes out on a limb to prove his worth, but unexpectedly falls in love with the girl who might replace him.",1h 29m,Tenure
495,7.0,--,Ketan Mehta,Sanjeev DuttaKetan Mehta,A look into the life of 19th century Indian painter Raja Ravi Varma.,2h 12m,Rang Rasiya
496,5.7,--,Gwen Wynne,Mary Beth FielderGwen Wynne,"In 1973 playing it straight can get a little twisted... Set in 1973 and inspired by true events, 'American Primitive' tells the story of the havoc that is wreaked in a teenage girl's life when she discovers her widowed father is gay. Alternately comic and tragic, the film captures the homophobia of the time set against a backdrop of small town America on Cape Cod. The... Read all",1h 36m,American Primitive
497,6.5,--,Kieran MulroneyMichele Mulroney,Michele MulroneyKieran Mulroney,A washed-up writer forms an unlikely friendship with a teenager from Long Island.,1h 50m,Unlikely Hero
498,6.6,75%,Dan Neira,Scott MullerJackie WatsonLarry Kurnarsky,"""Touched"" is the dramatic depiction of one of the most fervent of human conditions - love. The story is an encompassment of the various perils and possibilities of this very sentiment which lays a precedent for forgiveness, acceptance, and transformation.",--,Touched
499,8.0,--,Tommy Wood,Neal Shannon CrueyTommy Wood,"In a small, sleepy Georgia town, Bobby Hicks rules the roost, until he is found grilled to death on his still-warm barbecue smoker. When the town's only lawyer informs a select group that Bobby has left over a quarter-million dollar inheritance to the last one of them left living, things take a turn for the worse. In the midst of the chaos, Bobby's niece Megan falls f... Read all",1h 27m,Grilling Bobby Hicks
