,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
152,--,--,Katrina Del Mar,Katrina Del Mar,"Gang Girls 2000 neatly parodies the tough girl roughie genre of the 60's and 70's. When a legendary Brooklyn gang, the Sluts, invade their turf, the Lower East Side Glitter Girls are hell-bent for revenge. But a clandestine visit to Chinatown for supplies runs them afoul of the Blades. Next thing they know, things escalate into an all-out rumble at Coney Island!",27m,Gang Girls 2000
153,8.1,--,Katsuya Watanabe,Junki Takegami,Add a plot,42m,Kyukyu Sentai GoGoFive: Sudden Shock! A New Warrior
154,6.8,--,Keith Melton,Gary GoddardTy Granoroli,"Motion Simulator Ride Film. POV James Bond as he rides a motorcycle, shoots it out with bad guys, leaps onto the trailing ladder of a helicopter from a moving train, dodges bullets and explosions, finally landing on a jet ski and saving the kidnapped girl. The most complex live action ride film ever made.",4m,License to Thrill
155,3.8,--,Antti-Jussi Annila,Antti-Jussi AnnilaMarko Jatkola,,15m,Hard Student IV - The Ultimate Battle
156,--,--,Mitchell Walker,Karin Kammlander,Add a plot,2m,ÖBB Austrian Railways Roger Moore James Bond Style Television Commercial
157,--,--,Tony Stutterheim,Michael Gough,,18m,Awesome Truck Adventures Starring Tonka Joe
158,--,--,Börje Peratt,Börje Peratt,Vikings attack a village to plunder and capture women. In the fight they also happen to kidnap a baby hidden in the clothes by the captured mother.,15m,Barnet från havet
159,7.0,--,Rolf Gibbs,--,"This short but lyrical piece of cinema can be described as a thriller, a horror film, a comedy, a religious epic, a tragedy, an action flick, or as a Motion Poem about 30,000 feet.",5m,G.
160,6.7,80%,James Cunningham,James Cunningham,"A mutant hero, a virtual bank heist. A digital action thriller. A three fingered virus is let loose on a computer system with the express purpose of erasing a student loan.",8m,Infection
161,6.4,--,La Monte Edwards,La Monte Edwards,"After Lee Fuller's sister dies from a drug overdose, he decides that is is time for vengeance. Lee begins to ""take out"" the dealers on route to the top dog, Donovan, and is placed on watch by two detectives. As things get out of hand we begin to learn more and more about this Vigilante.",--,Vigilante
162,8.4,60%,Jamie Mosberg,Stephen BerraAli CairnsTony Hawk,,41m,The End
163,7.1,--,Bruce BranitJeremy Hunt,Bruce BranitJeremy Hunt,"A section of a highway is blocked off so that a plane can make an emergency landing on it. However, there are two people still driving on the highway: a man in an SUV and an old lady in a Lincoln.",3m,405
164,7.6,100%,Guy Maddin,Guy Maddin,A scientist chooses a wealthy man over her two lovers but must heal the earth's core to save humanity.,6m,The Heart of the World
165,--,--,Edoardo Amati,Edoardo Amati,"This story of personal redemption, examines the extreme sacrifices people will enact to protect their most precious essence of life, their existence.",21m,Master Shot
