,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
70,4.8,--,Dariush Farhang,Dariush Farhang,"Inspired by his recent trip to the USA, a filmmaker (played by Dariush Farhang) dreams of making an action film in modern Iran. Having little experience to draw on, he finds that the task is much more daunting that he had first imagined. As he faces setback after setback, he wonders if he will ever complete his project. An interesting look into the complexities of fil... Read all",1h 28m,"One Ticket, Two Movies!"
71,6.0,--,Chen-Kuo Chao,Chen-Kuo Chao,Add a plot,1h 25m,Bo ba zong dong yuan
72,7.4,91%,Djibril Diop Mambéty,Friedrich DürrenmattDjibril Diop Mambéty,"Dramaan is the most popular man in Colobane, but when a woman from his past, now exorbitantly wealthy, returns to the town, things begin to change.",1h 50m,Hyenas
73,6.6,55%,Robert Zemeckis,Martin DonovanDavid Koepp,"When a fading actress learns of an immortality treatment, she sees it as a way to outdo her long-time rival.",1h 44m,Death Becomes Her
74,6.5,--,Stephen Frears,Laura ZiskinAlvin SargentDavid Webb Peoples,"A not-so-nice man rescues passengers from a crashed airliner, only to see someone else take credit.",1h 59m,Accidental Hero
75,7.2,89%,Hal Hartley,Hal Hartley,"Jude, a college literature professor, falls for one of his students. She is more interested in the empirical experience of a relationship with a man whose life is ruled by the themes of the Russian Lit. he extolls in class. Jude shows an interesting side of the stigmas associated with transgenerational relationships and how to deal with the inevitable pain of a love d... Read all",53m,Surviving Desire
76,7.5,--,Peter Jackson,Stephen SinclairFran WalshPeter Jackson,"A young man's mother is bitten by a Sumatran rat-monkey. She gets sick and dies, at which time she comes back to life, killing and eating dogs, nurses, friends, and neighbors.",1h 44m,Braindead
77,5.3,--,Jon Turteltaub,Kenny KimEdward Emanuel,"Each year, three brothers visit their grandfather for the summer. He is highly skilled in ninjutsu, and for years he has trained the boys in his techniques.",1h 24m,3 Ninja Kids
78,8.0,95%,Ron ClementsJohn Musker,Ron ClementsJohn MuskerTed Elliott,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,1h 30m,Aladdin
79,7.7,77%,Brian Henson,Charles DickensJerry Juhl,The Muppets present their own touching rendition of Charles Dickens' classic tale.,1h 25m,The Muppet Christmas Carol
80,6.0,20%,Don BluthGary GoldmanDan Kuenster,Don BluthJohn PomeroyDavid J. Steinberg,"In order to defeat the wicked Grand Duke of Owls, a young boy, transformed into a cat, teams up with a group of barnyard animals to find the rooster who can raise the sun.",1h 14m,Rock-A-Doodle
81,6.5,--,Mauro Farias,Melanie Dimantas,"The life of aspiring writer Daniel O'Neil, who gets into trouble when his rich girlfriend leaves him.",1h 28m,Não Quero Falar Sobre Isso Agora
82,6.9,--,Joaquim Pinto,Jeanne Waltz,"Redheaded twins Armando and Beatriz always dreamed of being firefighters but during a rainy, uneventful winter they find themselves spending less time putting out infernos than they do helping neighbors who've locked themselves out of their apartments. This is how Armando meets a pretty young woman with whom he begins a tentative courtship. But soon a rift grows betwe... Read all",1h 10m,Das Tripas Coração
83,5.3,--,Gerardo Chijona,Gerardo ChijonaSenel Paz,"In Havana, young people dream of cinema.",1h 48m,Adorable Lies
84,7.0,83%,Guy Maddin,Guy MaddinGeorge Toles,"The wary residents of a 19th century mountain village must tread carefully and speak softly lest they cause an avalanche. Sexual frenzies teem in this world of repression, setting off incestuous love triangles with deadly consequences.",1h 40m,Careful
85,4.7,7%,Bob Rafelson,Carole Eastman,A sleazy but affable guard dog trainer is blackmailed to steal a manuscript for a tell-all book from one of his clients.,1h 40m,Man Trouble
86,5.5,--,Michael Taav,Michael Taav,"About a love triangle, involving a house painter, his boss, and the boss's sensitive, vulnerable wife. The film turns into a picture of hidden desires, romantic dreams, and dangerous obsessions.",1h 30m,Painted Heart
87,6.3,80%,Jean-Pierre Bekolo,Jean-Pierre Bekolo,A young girl crosses paths with a witch who has the power to satisfy her curiosity about men by changing her into one.,1h 20m,Quartier Mozart
88,6.8,--,Elijah Moshinsky,Romain GaryStanley Price,A former SS officer is haunted by the ghost of a man he murdered during WWII.,1h 19m,Genghis Cohn
89,7.3,100%,Rolf de Heer,Rolf de Heer,"Bubby has spent thirty years trapped in the same small room, tricked by his mother. One day, he manages to escape, and, deranged and naive in equal measures, his adventure into the modern and nihilistic life begins.",1h 54m,Bad Boy Bubby
90,5.9,50%,Stephan Elliott,Stephan Elliott,"Roland has made decisions with a die since his 8th birthday. Now an insurance investigator, he uses it at work.",1h 30m,Frauds
91,6.8,--,Laurence Ferreira Barbosa,Santiago AmigorenaJackie BerroyerLaurence Ferreira Barbosa,"After hitting her head, a woman has to face living in a mental institution for a period of time.",1h 35m,Les gens normaux n'ont rien d'exceptionnel
92,5.3,27%,Rob Turner,Rodney Gibbons,A young boy is sent to live with relatives when his parents break up. He befriends a dying boy who has an eerie connection with nature.,1h 35m,Digger
93,3.9,--,Blake Edwards,Maurice RichlinBlake EdwardsMadeline Sunshine,"Charles Dreyfus encounters Jacques Gambrelli, who reminds him painfully of Inspector Clouseau, the man who drove him insane. With good reason: Gambrelli is Clouseau's son.",1h 33m,Son of the Pink Panther
94,7.7,95%,Robert Altman,Raymond CarverRobert AltmanFrank Barhydt,The day-to-day lives of several suburban Los Angeles residents.,3h 8m,Short Cuts
95,5.0,24%,Penelope Spheeris,Paul HenningLawrence KonnerMark Rosenthal,Nice guy redneck Jed Clampett strikes it rich when he finds black oil. He and his kin move to posh Beverly Hills.,1h 32m,The Beverly Hillbillies
96,5.6,16%,John Badham,Jim Kouf,Two immature detectives are joined by a pesky assistant district attorney in staking out a lakeside home where a Mafia trial witness is believed to be heading.,1h 48m,Another Stakeout
97,6.8,75%,Barry Sonnenfeld,Charles AddamsPaul Rudnick,"The Addams Family try to rescue their beloved Uncle Fester from his gold-digging new love, a black widow named Debbie.",1h 34m,Addams Family Values
98,7.4,80%,Tomás Gutiérrez AleaJuan Carlos Tabío,Tomás Gutiérrez AleaSenel Paz,"Story of two men who are opposites: one gay, the other straight; one a fierce communist, the other a fierce individualist; one suspicious, the other accepting; and how they come to love each other.",1h 48m,Strawberry and Chocolate
99,5.9,--,Johanna Hald,Astrid LindgrenJohanna Hald,"A feisty five-year-old girl Lotta decides to move away from home. And no, she doesn't want to put on the stupid sweater.",1h 23m,Lotta 2 - Lotta flyttar hemifrån
100,5.9,--,Giorgio Ferrara,Giorgio FerraraEnrico MedioliJean-Pierre Bardos,"Venice, eighteenth century. The young Rosanna, widowed on her wedding day, discovers that she is the sole heir to an enormous patrimony, becoming in this way the most coveted party of the Serenissima.",1h 23m,Caccia alla vedova
101,--,--,Tony Cruz,Manny R. Buising,,--,Pempe ni Sara at Pen
102,5.9,--,Rolfe KanefskyEdward Staroselsky,Edward StaroselskyMikhail FishgojtRolfe Kanefsky,"A US mother goes to the USSR, just before its dissolution, to find the priceless Fabergé egg that the Russian Tsar left to her peasant father 70 years ago when the Russian Revolution hit, but the egg got lost in the commotion.",1h 35m,My Family Treasure
103,5.7,36%,Richard Glatzer,Richard Glatzer,"We spend a week in the L.A. offices where the daytime TV show ""The Love Judge"" is written and produced. Jo, the show's large and loud producer, announces she is leaving the show in two weeks. Paula (driven and on Prozac) and Mark (gay and moody) compete for Jo's job. Mark, coming onto the first anniversary of the death from AIDS of the love of his life, is attracted t... Read all",1h 27m,Grief
104,6.4,--,Gregg Araki,Gregg Araki,Six queer teenagers struggle to get along with each other and with life in the face of varying obstacles.,1h 18m,Totally F***ed Up
105,7.2,70%,Nanni Moretti,Nanni Moretti,Director Nanni Moretti takes a mordant look at Italian life through three antological vignettes presented as the chapters of an open diary.,1h 40m,Dear Diary
106,4.3,--,Shin Sang-ok,Alex S. Kim,"Rocky, Colt and Tum Tum are back in an all new adventure everyone will fall for.",1h 25m,3 Ninjas: Knuckle Up
107,6.1,71%,Jon Moritsugu,Jon Moritsugu,"West Side Story meets Rumble in the Bronx meets A Clockwork Orange. Bizarre tale of London, a lonely teen yearning for affection and a leather jacket who lives in a dysfunctional family home where the mother keeps popping and sexually playing with her other child, X-Ray, a member of a gang of Mods who are constantly at war with a gang of Asian Bikers. Amidst this turm... Read all",1h 7m,Mod Fuck Explosion
108,6.1,--,Beeban Kidron,Jeanette Winterson,"A young woman becomes involved with a man who not only may be an art thief, but a murderer.",1h 33m,Great Moments in Aviation
109,6.3,75%,Cheik Doukouré,Martin BrossolletDavid CarayanCheik Doukouré,"The story of Salif Keïta, first ""Ballon d'or d'Afrique"" (African Golden Ball).",1h 33m,The Golden Ball
110,6.5,--,Sönke Wortmann,Sönke WortmannRalf König,"Thrown out by his girlfriend from her apartment, Axel lives for a while with Norbert, a gay man he met some days before.",1h 33m,The Most Desired Man
111,5.4,--,Claude d'Anna,Claude d'Anna,"The difficult reunion between a tough young mother and her neglected daughter provide impetus this gritty, but upbeat French drama.",1h 31m,Daisy et Mona
112,6.7,--,Jan Schütte,Jan SchütteThomas Strittmatter,"""Bye Bye America"" is the story of an unusual journey, generated from discussions director Jan Schütte had with émigrés he met while walking along the boardwalk in Brighton Beach. The film depicts characters whose fate is to search for a homeland, with no great fuss about it but with laconic humour and an often fairy-tale ambience. Isaak, his friend Moshe, and Moshe's ... Read all",1h 25m,Auf Wiedersehen Amerika
113,7.7,90%,Kevin Smith,Kevin Smith,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",1h 32m,Clerks
114,6.8,79%,Hal Hartley,Hal Hartley,"An amnesiac wakes up on an NYC alley. He meets Isabelle, an ex nun now erotic writer, at a diner and follows her home. She helps him find his identity. Then there's Sofia, the porn star.",1h 45m,Amateur
115,8.0,88%,Kar-Wai Wong,Kar-Wai Wong,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.",1h 42m,Chungking Express
116,5.1,33%,Dennis Hopper,Joe BatteerJohn RiceDan Gilroy,A hapless Navy sailor is assigned SP duty. The catch: he must escort a beautiful female prisoner on her way to prison for going UA. She in turn will try anything to escape.,1h 42m,Chasers
117,5.1,--,Ann Turner,Ann Turner,A feisty independent golf player wreaks havoc in a suburban Sydney home by attempting to seduce every member of the family.,1h 44m,Dallas Doll
118,7.4,95%,Woody Allen,Woody AllenDouglas McGrath,"In New York in 1928, a struggling playwright is forced to cast a mobster's talentless girlfriend in his latest drama in order to get it produced.",1h 38m,Bullets Over Broadway
119,6.3,--,Craig Schlattman,Craig Schlattman,"Tom and Aysha are at the economic bottom of the LA scene; no money, on drugs, and selling themselves to exist. Tom brains his drug dealer, steals his drugs and the two split town by bus and thumb, heading 'home'. Hitching a ride from a quixotic, dangerous character, Bubba, they put up with his advances until he too is ejected from his own car as the two free themselve... Read all",1h 57m,At Ground Zero
120,6.3,80%,Raúl Ruiz,Raúl RuizFederico Muchnik,"An absurdist odyssey through downtown Manhattan with a sweet old serial killer, a student-cum-critic-cum-musician and assorted international bohemians.",1h 23m,The Golden Boat
121,7.4,--,Erik Burke,Erik Burke,A dark comedy about the wild night Hank has when he discovers that he has won a $200 million lottery jackpot.,1h 24m,Loser
122,6.6,--,Martín Rejtman,Martín Rejtman,"After his bike and money gets stolen from him, Lucio struggles to find his place in the surrounding reality of Argentina in the 1990s.",1h 15m,Cropped Head
123,5.7,17%,E. Max Frye,E. Max Frye,"A Pulitzer prize writer buys a cabin. The neighbors get suspicious when a stranger ""breaks in"". They see a black man and call the police, who start shooting at him. The sheriff tries a cover-up involving a white petty crook. Bad idea.",1h 36m,Amos & Andrew
124,6.1,56%,Bigas Luna,Cuca CanalsBigas Luna,A construction worker uses his charm and bravado in an attempt to attain enough finances to build his dream project.,1h 35m,Golden Balls
125,5.7,25%,Billy Weber,Frank Deese,"After their parent's divorce, 12-year-old Josh and 7-year-old Sam decide to go on an underage road trip. Sick of being ferried between their distant mother and remarried father, Josh and his brother steal a car and set out for Canada.",1h 36m,Josh and S.A.M.
126,7.0,--,Trey Parker,Trey ParkerMatt Stone,The sole survivor of an ill-fated mining expedition tells how his taste for gold was replaced by that of human flesh.,1h 35m,Alferd Packer: The Musical
