,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
93,"3,9",--,James Yukich,Paul DiniNeal ShustermanMichael Davis,"Dos hermanos tienen la mitad de un poderoso y antiguo talismán chino. Un malvado líder de pandillas tiene la otra mitad, y está determinado con obtener la otra mitad, tener el medallón completo para conseguir el poder absoluto.",1h 36min,Double Dragon: La película
94,"4,0",--,Joe D'Amato,Fu Chun,Una sexy bibliotecaria llamada Joan está de prácticas en una biblioteca de China. Constantemente está rechazando las insinuaciones de su compañero de trabajo. Allí se topa con un volumen del Kamasutra y todo cambiará para la bella Joan.,1h 25min,Chinese Kamasutra
95,"3,9",--,Jerzy Lukaszewicz,Jerzy LukaszewiczRyszard Zatorski,Añade un argumento en tu idioma,1h 27min,Lowca. Ostatnie starcie
96,"6,0",--,Lech Majewski,Lech Majewski,"Añade un argumento en tu idioma
The film is a biblical soap-opera whose action unfolds in the Californian desert. Karen and Wes's marriage is crumbling apart - like a sandcastle. Karen can't even make love to her husband any more - the sand has managed to get everywhere. Harry, a tax collector, is a witness to this marriage falling apart. As a civil servant he hears Wes confession. However he isn't ... Leer todo",1h 22min,Gospel According to Harry
97,"7,0",--,Jan Sverák,Zdenek SverákJan SlovákJan Sverák,"In this movie, TV sets are full of life. If a person is in TV (e.g. because it was filmed on the street) it has a double that's right in the TV set. This double needs energy from the true character to survive. Each time, the real human watches TV, his Double will pull life energy from him. So there's a mysterious Death-serial. Many persons die in front of their TV set... Leer todo",1h 42min,Akumulátor 1
98,--,--,--,--,--,--,--
99,"6,2",--,Ildikó Enyedi,László B. RévészIldikó Enyedi,"Añade un argumento en tu idioma
Film about a child's perception of an adult world. Story centers on a police marksman who is assigned to protect a Russian chess grand master who does not know about his protection. Then the chess master meets the policeman's wife and there's an attraction between them. The child's perception is that of the policeman's daughter. Thriller and fantasy elements included ... Leer todo",1h 46min,Büvös vadász
100,"6,2",--,Fraser C. Heston,Stephen KingW.D. Richter,Se abre una nueva y misteriosa tienda en una pequeña ciudad que siempre parece abastecer los deseos más profundos de cada comprador con un precio mucho más elevado de lo esperado.,2h 1min,La tienda
101,"4,4",--,Andrew Morahan,Gregory WidenBrad MirmanWilliam N. Panzer,"Engañado como que había ganado el Premio, Connor MacLeod despierta de una vida pacífica cuando un mago inmortal sepultado viene en busca del Highlander.",1h 39min,Los inmortales III: El hechicero
102,"5,9",90%,Kutlug Ataman,Kutlug Ataman,"Añade un argumento en tu idioma
Richie Hunter is an American who lives in Istanbul. He meets a stranger, Haldun, who gives him a note with directions. These lead him to visit an aristocrat called Lamia living in a small palace on the Bosphorus and Richie finds himself caught up in the intrigues of Lamia's household.",1h 23min,Dark Waters
